date | value
2009-01-02 | 1
2009-01-03 | 2.5
2012-02-29 | 1
2020-02-29 | 42
2024-12-31 | 1000

2008-12-31 | 5
2011-04-31 | 3
2019-02-29 | 8
1900-02-29 | 7
2000-02-29 | 9
2021-13-01 | 0
2021-00-10 | 1
2021-01-00 | 1
2021-01-32 | 1
2021-06-31 | 1
2021-11-31 | 1

2000--07-26 | 15
2000-07--26 | 15
2000-7-26 | 15
2000-07-6 | 15
2000-7-6 | 15
20-07-26 | 15
20000726 | 15
2000/07/26 | 15
2000-07-26- | 15
-2000-07-26 | 15
abcd-07-26 | 15
2000-aa-26 | 15
2000-07-bb | 15

2012-02-30 | 5
2012-00-29 | 5
2012-01-99 | 5
2021-09-31 | 5

2021-07-04 | -1
2021-07-04 | 1001
2021-07-04 | abc
2021-07-04 |
2021-07-04 | 1.5
2021-07-04 | +5
2021-07-04 | 0005

 | 5
2021-07-04|5
2021-07-04 |5
2021-07-04| 5
2021-07-04  | 5
 2021-07-04 | 5
